date,gold_price,open,high,low,close,adjclose,volume,symbol,provider,gold_price_source,gold_price_source_type,gold_price_is_live_extension,gold_price_is_proxy,gold_price_last_updated_utc
2026-04-01,4783.2001953125,4668.39990234375,4789.10009765625,4668.0,4783.2001953125,4783.2001953125,1637.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-02,4651.5,4764.89990234375,4784.39990234375,4558.89990234375,4651.5,4651.5,0.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-06,4656.7998046875,4656.10009765625,4689.60009765625,4605.0,4656.7998046875,4656.7998046875,148.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-07,4657.10009765625,4624.89990234375,4676.2998046875,4608.0,4657.10009765625,4657.10009765625,327.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-08,4749.5,4760.0,4851.0,4738.7998046875,4749.5,4749.5,405.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-09,4792.2001953125,4711.0,4799.10009765625,4711.0,4792.2001953125,4792.2001953125,1277.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-10,4761.89990234375,4745.89990234375,4791.0,4744.89990234375,4761.89990234375,4761.89990234375,812.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-13,4742.39990234375,4704.0,4742.39990234375,4704.0,4742.39990234375,4742.39990234375,32.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-14,4825.0,4770.10009765625,4841.60009765625,4770.10009765625,4825.0,4825.0,288.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-15,4800.0,4843.60009765625,4843.60009765625,4798.0,4800.0,4800.0,182.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-16,4785.39990234375,4810.89990234375,4810.89990234375,4785.39990234375,4785.39990234375,4785.39990234375,805.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-17,4857.60009765625,4771.60009765625,4879.7001953125,4767.2001953125,4857.60009765625,4857.60009765625,1902.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-20,4806.60009765625,4793.89990234375,4811.0,4770.0,4806.60009765625,4806.60009765625,724.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-21,4698.39990234375,4698.39990234375,4705.0,4676.39990234375,4698.39990234375,4698.39990234375,1197.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-22,4732.5,4754.2001953125,4754.2001953125,4732.5,4732.5,4732.5,765.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-23,4705.10009765625,4711.5,4732.39990234375,4705.10009765625,4705.10009765625,4705.10009765625,292.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-24,4722.2998046875,4695.0,4722.2998046875,4657.5,4722.2998046875,4722.2998046875,45.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-27,4675.39990234375,4707.60009765625,4711.10009765625,4675.39990234375,4675.39990234375,4675.39990234375,538.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-28,4591.5,4680.89990234375,4680.89990234375,4591.5,4591.5,4591.5,2660.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-29,4545.2001953125,4598.60009765625,4601.60009765625,4515.7001953125,4545.2001953125,4545.2001953125,507.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-04-30,4614.7001953125,4561.89990234375,4636.7001953125,4561.89990234375,4614.7001953125,4614.7001953125,77.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-05-01,4629.89990234375,4636.7001953125,4636.7001953125,4581.7001953125,4629.89990234375,4629.89990234375,113.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-05-04,4519.5,4581.2001953125,4581.2001953125,4512.7001953125,4519.5,4519.5,113.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
2026-05-05,4561.7001953125,4534.0,4568.10009765625,4522.7001953125,4561.7001953125,4561.7001953125,23540.0,GC=F,yahoo_chart,yahoo_gc_f,comex_futures_proxy_delayed,True,True,2026-05-05T08:47:16.860531Z
