feature,mean_abs_shap_across_horizons
gold_ma_ratio_20,0.029479416902177036
gold_return_60,0.007711301173549146
gold_return_20,0.00473162280395627
alpha_day_of_year_cos,0.004475406650453806
gold_ma_ratio_60,0.0030752123333513738
gold_return_5,0.0029625803465023635
gold_drawdown_252,0.0028104409109801056
gold_return_1,0.00224953293800354
alpha_month,0.0018686866154894234
m2_supply,0.0008779305964708329
ppi_index,0.0005481389613123611
policy_unc,0.0005399315152317286
gld_tonnes,0.0004660020727897063
alpha_time_index,0.0004477389273233712
ind_prod,0.0004143688434851356
gold_ma_20,0.000377189926803112
gld_tonnes_chg_5,0.0003725021379068494
alpha_quarter,0.0003637628862634301
gold_volatility_20,0.00032056443160399795
real_yield,0.00031430817907676103
tips_curve,0.0002839749795384705
gpr_index_z60,0.00024183538043871523
m2_supply_chg_20,0.00021789923339383678
inflation,0.00020658734283642843
unrate,0.0002025585577939637
gold_log_price,0.0001650986261665821
ppi_index_z60,0.00016281451098620892
unrate_z60,0.00014369021519087256
fin_stress_chg_20,0.00012900153524242342
unrate_chg_20,0.00012308258446864785
cap_util_chg_20,0.00012188319233246148
ppi_index_chg_5,9.670730214565993e-05
fin_stress_z60,9.555550495861098e-05
fed_bs,8.295007864944637e-05
oil_wti,6.90560380462557e-05
ind_prod_z60,6.34040952718351e-05
gpr_index,6.113892304711044e-05
eur_usd_chg_20,5.85359986871481e-05
jpy_usd,5.630167288472876e-05
policy_unc_chg_20,5.1463393901940435e-05
vix_index_chg_20,4.815641150344163e-05
nominal_yield_chg_20,4.6930693497415635e-05
usd_index_z60,4.202852142043412e-05
cap_util_chg_5,3.8520005182363094e-05
policy_unc_chg_5,3.6235584411770104e-05
cap_util,3.194001619704068e-05
fed_bs_z60,3.1873153056949376e-05
eur_usd,3.068853548029438e-05
ind_prod_chg_20,2.7464298182167112e-05
alpha_day_of_year_sin,2.458093804307282e-05
fin_stress,2.4140939058270305e-05
gold_lag_5,2.2905950027052312e-05
gold_lag_20,1.9432464614510537e-05
gld_tonnes_z60,1.7423747340217233e-05
gld_tonnes_chg_20,1.684550225036219e-05
fed_bs_chg_20,1.4613215171266347e-05
jpy_usd_chg_20,1.187486486742273e-05
cap_util_z60,1.1832283053081483e-05
unrate_chg_5,9.362530545331537e-06
ind_prod_chg_5,9.214124293066562e-06
policy_unc_z60,8.220894233090804e-06
jpy_usd_chg_5,7.234374788822606e-06
fin_stress_chg_5,0.0
alpha_year,0.0
eur_usd_chg_5,0.0
eur_usd_z60,0.0
fed_bs_chg_5,0.0
gold_ma_60,0.0
m2_supply_z60,0.0
m2_supply_chg_5,0.0
jpy_usd_z60,0.0
gpr_index_chg_5,0.0
gold_ma_5,0.0
gold_lag_1,0.0
gpr_index_chg_20,0.0
nominal_yield,0.0
oil_wti_chg_20,0.0
ppi_index_chg_20,0.0
nominal_yield_chg_5,0.0
nominal_yield_z60,0.0
oil_wti_z60,0.0
oil_wti_chg_5,0.0
real_yield_z60,0.0
real_yield_chg_5,0.0
real_yield_chg_20,0.0
usd_index_chg_20,0.0
usd_index,0.0
usd_index_chg_5,0.0
vix_index,0.0
vix_index_chg_5,0.0
vix_index_z60,0.0
